product_id,weight
478,2054
244,1429
437,1424
7,1212
279,1032
327,1015
72,989
280,979
90,975
159,972
248,960
281,794
131,792
56,777
445,746
392,735
91,718
338,702
330,694
343,689
269,689
48,666
254,654
175,651
265,649
247,634
64,623
169,607
92,601
134,593
251,573
23,563
426,559
464,553
188,551
221,540
350,535
31,531
228,529
110,527
26,527
431,517
232,514
80,513
289,505
455,498
403,498
298,496
154,493
76,487
70,474
1,469
120,466
173,463
470,463
436,459
301,455
324,438
107,437
334,430
57,427
252,426
58,425
137,419
24,419
483,418
465,415
63,414
453,412
385,411
479,409
49,408
4,405
141,401
163,401
12,399
315,397
495,392
400,388
43,386
374,383
311,383
14,383
206,379
210,378
245,377
446,375
78,374
222,374
217,371
211,369
335,369
300,364
235,359
214,357
433,356
486,354
325,348
88,346
435,344
376,342
272,341
439,340
39,339
363,338
123,331
87,330
267,323
316,322
10,319
21,318
208,316
332,315
25,313
337,307
29,307
196,303
165,300
389,298
22,297
157,296
404,296
263,294
317,291
266,287
412,285
407,284
15,281
401,278
309,275
189,274
158,274
422,267
452,262
341,261
28,259
241,258
472,258
225,257
442,251
38,250
204,248
174,247
149,247
209,246
353,246
226,245
45,242
102,242
59,239
40,238
380,237
319,237
99,235
243,234
273,231
476,231
278,230
291,228
288,228
448,227
456,224
424,223
318,222
321,218
200,216
183,215
346,214
146,213
451,211
444,210
121,208
284,207
287,207
181,207
375,202
148,201
275,201
260,200
481,199
285,197
140,196
37,196
55,195
418,194
127,191
480,191
246,190
416,189
152,189
466,189
162,189
358,188
44,188
310,188
20,187
381,186
395,185
249,183
314,183
68,183
109,181
138,177
391,176
17,176
3,174
130,173
98,171
355,171
493,171
51,169
369,168
100,168
16,168
469,168
199,166
473,165
351,164
179,163
307,163
336,162
414,162
386,162
354,161
186,161
191,159
364,159
277,158
489,157
93,157
282,156
484,156
97,155
259,152
220,151
322,150
116,150
62,150
212,149
124,148
82,148
202,147
462,147
223,147
145,147
468,146
382,146
276,146
302,146
54,144
497,144
151,143
340,142
492,142
405,141
240,141
239,141
35,140
485,140
368,138
132,137
292,136
104,135
118,135
67,134
393,134
379,133
164,132
5,132
105,130
359,130
349,129
52,129
190,128
81,128
304,127
75,126
450,125
268,124
193,124
213,123
255,123
113,123
294,122
257,122
347,122
89,121
71,120
185,120
331,118
205,118
178,118
115,116
42,115
153,115
171,113
65,113
458,112
79,111
161,110
194,110
488,109
459,108
342,108
61,107
443,107
103,107
155,107
356,107
11,106
36,106
378,105
384,105
339,104
360,104
388,104
195,103
94,102
234,102
133,101
33,101
434,100
427,100
408,99
47,99
230,96
215,96
283,95
85,95
371,93
184,93
402,92
430,92
77,92
352,91
500,91
258,90
409,89
296,88
477,88
53,87
262,86
256,84
13,84
345,84
441,84
308,83
218,83
167,83
261,82
112,80
420,78
143,78
323,77
66,77
203,76
362,75
348,74
417,72
361,71
95,71
136,71
286,70
460,70
6,70
207,69
447,69
83,68
160,67
86,66
142,66
399,65
242,65
9,64
494,64
410,63
236,63
180,62
333,62
290,61
227,59
397,58
126,58
168,57
454,56
182,56
135,56
274,55
328,55
329,55
313,54
69,54
46,54
498,51
74,49
250,48
177,47
306,46
144,42
125,42
305,41
320,41
198,41
111,40
387,39
219,38
413,38
84,36
27,36
474,36
108,35
463,35
370,35
432,34
428,34
170,33
216,32
271,32
482,31
197,31
238,31
367,30
496,30
490,29
50,29
425,28
19,28
312,28
73,27
383,27
461,27
365,26
440,25
377,25
114,23
18,23
372,22
438,22
293,22
475,21
156,20
229,19
406,19
129,18
224,18
231,18
101,18
423,18
471,17
457,17
176,17
41,16
237,16
106,16
390,16
128,15
396,15
166,15
297,15
253,15
139,14
30,14
187,14
60,13
467,12
147,12
303,12
491,12
421,11
2,10
119,10
299,9
326,8
295,8
366,8
449,7
172,7
394,7
117,7
344,7
499,6
487,6
192,6
357,5
233,5
419,5
34,5
122,4
8,4
398,4
201,3
150,3
32,2
96,2
373,2
415,1
